"crawl_timestamp","Col1","retail_price","is_FK_Advantage_product","brand","Demand"
2015-12-04,"Watches",1299,0,"",1.44493882091212
2015-12-04,"Footwear",5999,0,"",1.66685190330647
2015-12-04,"Footwear",3250,0,"",1.80555555555556
2015-12-04,"Footwear",3599,0,"",1.50020842017507
2015-12-04,"Footwear",2199,0,"",2.00090991810737
2015-12-04,"Watches",1299,0,"",2.60320641282565
2015-12-04,"Footwear",1399,0,"",1.4004004004004
2015-12-04,"Footwear",2999,0,"",2.50125104253545
2015-12-04,"Watches",1499,0,"",2.5025041736227
2015-12-04,"Footwear",2799,0,"",1.25011165698973
2015-12-04,"Watches",750,0,"",1
2015-12-04,"Watches",2399,0,"",5.00835073068894
2015-12-04,"Footwear",2299,0,"",1.43777360850532
2015-12-04,"Footwear",1799,0,"",2.50208623087622
2015-12-04,"Footwear",4695,0,"",1.33342800340812
2015-12-04,"Watches",6995,0,"",1.05267118133935
2015-12-04,"Footwear",2495,0,"",1.38688160088938
2015-12-04,"Watches",2195,0,"",1.8185584092792
2015-12-04,"Footwear",3499,0,"",1.25008931761343
2015-12-04,"Watches",1299,0,"",2.03286384976526
2015-12-04,"Footwear",2299,0,"",2.00087032201915
2015-12-04,"Watches",1235,0,"",1
2015-12-04,"Footwear",2799,0,"",2.15473441108545
2015-12-04,"Watches",1499,0,"",2.5025041736227
2015-12-04,"Watches",650,0,"",1
2015-12-04,"Footwear",2795,0,"",1
2016-03-05,"Sports",1195,0,"ezyPRNT",2.00840336134454
2016-03-05,"Sports",1195,0,"ezyPRNT",2.00840336134454
2016-03-05,"Sports",1195,0,"ezyPRNT",2.00840336134454
2016-03-05,"Sports",1195,0,"ezyPRNT",2.00840336134454
2016-06-12,"Clothing",500,0,"Traditions",1.2531328320802
2016-06-12,"Home",2199,0,"First Choice",2.2461695607763
2016-06-12,"Clothing",899,0,"Eccellente",2.67559523809524
2016-06-12,"Pens",1799,0,"Nechams",2.25156445556946
2016-06-12,"Clothing",500,0,"Traditions",1.2531328320802
2016-06-12,"Home",2199,0,"First Choice",2.2461695607763
2016-06-12,"Home",2199,0,"First Choice",2.2461695607763
2016-06-12,"Sports",1399,0,"JASPO",1.81688311688312
2016-06-12,"Clothing",1775,0,"Masaba for Magic fairy",1.1107634543179
2016-06-12,"Clothing",3999,0,"Momin Libas",1.66763969974979
2016-06-12,"Mobiles",990,0,"ACM",2.92035398230089
2016-06-12,"Toys",999,0,"A R ENTERPRISES",3.34113712374582
2016-06-12,"Home",2199,0,"First Choice",2.2461695607763
2016-06-12,"Home",2199,0,"SANTOSH ROYAL FASHION",2.2461695607763
2016-06-12,"Home",2199,0,"First Choice",2.2461695607763
2016-06-12,"Footwear",799,0,"ShoeBuzz",3.23481781376518
2016-06-12,"Footwear",499,0,"Zed",1
2016-06-12,"Home",1160,0,"House This",1
2016-06-12,"Mobiles",990,0,"ACM",2.92035398230089
2016-06-12,"Jewellery",2000,0,"womaniya",1.66666666666667
2016-06-12,"Jewellery",665,0,"Taj Pearl",1.66666666666667
2016-06-12,"Sports",2299,0,"JASPO",1.81023622047244
2016-06-12,"Jewellery",665,0,"Taj Pearl",1.66666666666667
2016-06-12,"Toys",199,0,"Bento",3.15873015873016
2016-06-12,"Clothing",1495,0,"Wake Up Competition",1.99866310160428
2016-06-12,"Jewellery",665,0,"Taj Pearl",1.66666666666667
2016-06-12,"Jewellery",665,0,"Taj Pearl",1.66666666666667
2016-04-04,"Footwear",1299,0,"JQR",1
2016-04-04,"Footwear",999,0,"JQR",1
2016-04-04,"Clothing",1099,0,"Great Art",2.22920892494929
2016-04-04,"Bags",1599,0,"Zoe Marciano",2.28755364806867
2016-04-04,"Bags",1599,0,"Zoe Marciano",2.28755364806867
2016-06-05,"Bags",1899,0,"Kleio",1.9009009009009
