"Col1","retail_price","is_FK_Advantage_product","brand","Demand"
"Clothing",1199,0,"",1.50817610062893
"Clothing",1199,0,"",1.3625
"Clothing",1699,0,"",1.39835390946502
"Jewellery",2746,0,"Asian Gems & Jewels",3.99708879184862
"Jewellery",2973,0,"Asian Gems & Jewels",4.00134589502019
"Jewellery",1937,0,"Asian Gems & Jewels",2.00103305785124
"Home",1000,0,"Kings",4.01606425702811
"Jewellery",16880,0,"Avsar",2
"Clothing",399,1,"",1.11142061281337
"Jewellery",18350,0,"Nishtaa",1.05260138817186
"Footwear",399,0,"",1.33444816053512
"Clothing",2499,0,"",1.66711140760507
"Clothing",1799,0,"",2.25156445556946
"Clothing",2099,0,"Slim",1.428863172226
"Home",799,0,"Eshoppee",2.00250626566416
"Jewellery",49999,0,"Karatcraft",1.46106192104263
"Jewellery",8190,0,"Nishtaa",1.0525639377972
"Clothing",1205,0,"",1.25
"Clothing",1299,0,"",1.3003003003003
"Clothing",999,0,"Slim",2.86246418338109
"Clothing",999,0,"Slim",2.86246418338109
"Clothing",999,0,"Slim",2.86246418338109
"Clothing",1399,1,"Slim",1
"Clothing",1664,0,"",3.33466933867735
"Clothing",2499,0,"",3.33644859813084
"Clothing",999,0,"",2.50375939849624
"Clothing",1299,0,"",3.0855106888361
"Clothing",999,0,"",1.42918454935622
"Clothing",800,0,"",2.00501253132832
"Clothing",1499,0,"",1.42897998093422
"Clothing",950,0,"",2.11581291759465
"Clothing",849,0,"",1.70140280561122
"Clothing",999,0,"",2.72207084468665
"Clothing",999,0,"",2.72207084468665
"Jewellery",47822,0,"Karatcraft",1.45033815546053
"Jewellery",29366,0,"WearYourShine by PCJ",1
"Clothing",999,0,"",1
"Clothing",699,0,"",1
"Clothing",799,0,"",1
"Clothing",799,0,"",1
"Clothing",999,0,"",1
"Clothing",899,0,"",1
"Clothing",999,0,"",1
"Clothing",699,0,"",1
"Clothing",999,0,"",1
"Clothing",999,0,"",1
"Clothing",799,0,"",1
"Clothing",699,0,"",1
"Clothing",599,0,"",1
"Clothing",599,0,"",1
"Jewellery",29348,0,"BlueStone",1.296060766649
"Jewellery",42068,0,"Karatcraft",1.20002282062985
"Jewellery",40267,0,"Karatcraft",1.47915365683429
"Clothing",1390,0,"",2
"Clothing",2000,0,"",1.33333333333333
"Jewellery",43481,0,"Karatcraft",1.20000551967765
"Clothing",698,0,"",2.04093567251462
"Jewellery",44247,0,"Karatcraft",1.20001627251031
"Clothing",1699,0,"Slim",2.83639398998331
"Clothing",710,0,"",1
"Clothing",1089,0,"",1.99816513761468
"Clothing",799,0,"",1.60120240480962
"Clothing",1419,0,"",1.99859154929577
"Jewellery",6160,0,"Clara",2.23188405797101
"Jewellery",5270,0,"Clara",2.23305084745763
"Jewellery",4210,0,"Clara",2.23936170212766
"Clothing",1699,0,"",1.66732090284593
"Jewellery",5270,0,"Clara",2.23305084745763
"Jewellery",4750,0,"Clara",2.23004694835681
"Jewellery",3530,0,"Clara",2.2484076433121
"Jewellery",35415,0,"BlueStone",1.31244441150311
"Clothing",1199,0,"",4.01003344481605
"Clothing",1199,0,"",2.50313152400835
"Clothing",2400,0,"",5
"Clothing",895,0,"",1.23448275862069
"Jewellery",11820,0,"Nishtaa",1.05263157894737
"Clothing",2899,0,"",1.9339559706471
"Furniture",5499,0,"Living World by Home Stop",1
"Clothing",1699,0,"Regular Fit",2.00117785630153
"Jewellery",1656,0,"Asian Gems & Jewels",2
"Jewellery",3030,0,"Asian Gems & Jewels",4.00264200792602
"Clothing",2325,0,"",3
"Clothing",2550,0,"",3
"Clothing",2500,0,"",2.78086763070078
"Clothing",2700,0,"",3.00333704115684
"Clothing",2000,0,"",2.86123032904149
"Clothing",1999,0,"",3.33722871452421
"Clothing",2999,0,"",3.61761158021713
"Clothing",2999,0,"",3.61761158021713
"Footwear",499,0,"",1
"Clothing",600,0,"",1.64383561643836
"Clothing",1500,0,"",1.76470588235294
"Clothing",1500,0,"",3.33333333333333
"Clothing",700,0,"",1.97183098591549
"Clothing",1599,0,"",3.20440881763527
"Clothing",1595,0,"",1
"Jewellery",28963,0,"WearYourShine by PCJ",1
"Jewellery",1743,0,"Asian Gems & Jewels",1.99885321100917
"Clothing",999,0,"",1.11123470522803
"Clothing",999,0,"",1.11123470522803
"Clothing",1100,0,"",1.57142857142857
"Jewellery",8538,0,"KuberBox",1
"Clothing",1199,0,"",2.07081174438687
"Clothing",2500,0,"",2.5025025025025
"Clothing",1200,0,"",1.74165457184325
"Clothing",1295,0,"",1
"Jewellery",42321,0,"Karatcraft",1.49454391355016
"Jewellery",32528,0,"Karatcraft",1.57352941176471
"Jewellery",32658,0,"Karatcraft",1.57562599507888
"Clothing",1699,0,"",1.74974253347065
"Jewellery",30176,0,"Karatcraft",1.45433514868186
"Jewellery",32524,0,"Karatcraft",1.57990867579909
"Clothing",1499,0,"",2.1444921316166
"Clothing",1999,0,"",2.85979971387697
"Clothing",1899,0,"",1.85268292682927
"Clothing",1899,0,"",2.00105374077977
"Clothing",1099,0,"",2.50341685649203
"Clothing",310,0,"",1
"Jewellery",49999,0,"Karatcraft",1.18307226349912
"Jewellery",45345,0,"Karatcraft",1.20001587847672
"Jewellery",31033,0,"CaratLane",1
"Home",4500,0,"Karigaari",2.19512195121951
"Jewellery",29292,0,"WearYourShine by PCJ",1
"Clothing",2599,0,"",2.89098998887653
"Clothing",2299,0,"",2.55728587319244
"Clothing",2299,0,"",2.70789163722026
"Clothing",2299,0,"",2.55728587319244
"Clothing",2299,0,"",2.55728587319244
"Jewellery",6740,0,"Nishtaa",1.05263157894737
"Clothing",1999,0,"",2.50187734668335
